ID,GAME,RATING,TIME,MIN PLAYERS,MAX PLAYERS,REC PLAYERS,MECHANICS,DEMO,WANTS TO PLAY,OWNS,PLAYED,BGG LINK
140603,Francis Drake,7.51093,120,3,5,5,"Dice Rolling, Press Your Luck, Secret Unit Deployment, Set Collection, Worker Placement",,,,,https://boardgamegeek.com/boardgame/140603
157322,Dice Brewing,6.32521,45,2,4,3,"Card Drafting, Dice Rolling, Set Collection, Worker Placement",,,,,https://boardgamegeek.com/boardgame/157322
2338,Starship Catan,6.85332,60,2,2,2,"Dice Rolling, Memory, Press Your Luck, Trading",,,,,https://boardgamegeek.com/boardgame/2338
166372,Artificium,6.20351,50,2,6,4,"Card Drafting, Simultaneous Action Selection, Trading",,,,,https://boardgamegeek.com/boardgame/166372
142830,Chaosmos,7.10567,90,2,4,4,"Action Point Allowance System, Card Drafting, Dice Rolling, Hand Management, Memory, Modular Board, Point to Point Movement, Time Track, Trading, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/142830
104581,Panic on Wall Street!,7.0169,30,3,11,8,"Auction/Bidding, Commodity Speculation, Dice Rolling, Player Elimination, Stock Holding",,,,,https://boardgamegeek.com/boardgame/104581
169611,Love Letter: The Hobbit  The Battle of the Five Armies,7.22161,30,2,4,4,"Hand Management, Player Elimination",,,,,https://boardgamegeek.com/boardgame/169611
88594,Eruption,6.38857,45,2,6,3,"Dice Rolling, Partnerships, Tile Placement",,,,,https://boardgamegeek.com/boardgame/88594
205078,Barcelona: The Rose of Fire,6.70565,90,2,4,4,"Area Control / Area Influence, Tile Placement",,,,,https://boardgamegeek.com/boardgame/205078
205079,Checkpoint Charlie,6.51798,30,3,5,5,"Memory, Pattern Recognition",,,,,https://boardgamegeek.com/boardgame/205079
178613,Star Trek: Five-Year Mission,6.44385,45,3,7,4,"Co-operative Play, Dice Rolling, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/178613
104347,Santiago de Cuba,6.94661,75,2,4,2,"Commodity Speculation, Dice Rolling, Memory, Modular Board, Pick-up and Deliver, Point to Point Movement, Worker Placement",,,,,https://boardgamegeek.com/boardgame/104347
142265,Prospectus,7.22679,180,3,4,3,"Commodity Speculation, Stock Holding",,,,,https://boardgamegeek.com/boardgame/142265
143515,Coal Baron,7.32181,75,2,4,4,"Action Point Allowance System, Pick-up and Deliver, Set Collection, Tile Placement, Worker Placement",,,,,https://boardgamegeek.com/boardgame/143515
142262,Draco Magi,6.61697,30,2,2,2,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management",,,,,https://boardgamegeek.com/boardgame/142262
159507,Urban Panic,5.44565,60,2,4,,Tile Placement,,,,,https://boardgamegeek.com/boardgame/159507
184117,ManaSurge,6.84752,45,2,6,3,"Hand Management, Take That",,,,,https://boardgamegeek.com/boardgame/184117
31291,Espaa 1936,7.28581,180,2,2,2,"Area Movement, Campaign / Battle Card Driven, Dice Rolling, Simulation",,,,,https://boardgamegeek.com/boardgame/31291
128931,Noblemen,6.98804,120,3,5,4,"Card Drafting, Tile Placement",,,,,https://boardgamegeek.com/boardgame/128931
